id;title;description;date_requested;date_begin;date_end;status
1;e-services;program override red;2019-09-19T22:45:30;2019-09-20;2019-09-20;TERMINADO
2;Liaison teal;Licensed Cheese Summit;2019-09-20T06:51:53;2019-09-20;2019-09-20;TERMINADO
3;Principal Savings Account online;Music Savings Account;2019-09-20T05:01:05;2019-09-20;2019-09-20;EN_ESPERA
4;Handcrafted Rubber Gloves;South Carolina;2019-09-20T09:11:43;2019-09-20;2019-09-19;CONFIRMADO
5;disintermediate Walks Credit Card Account;payment;2019-09-20T01:25:26;2019-09-19;2019-09-19;TERMINADO
6;Configurable;Delaware Health Borders;2019-09-20T14:32:41;2019-09-20;2019-09-20;TERMINADO
7;Borders;PCI;2019-09-20T17:36:47;2019-09-20;2019-09-19;CANCELADO
8;Frozen;magenta Turkish Lira;2019-09-19T23:52:44;2019-09-20;2019-09-20;EN_ESPERA
9;deposit circuit Kids;Checking Account Home Loan Account orchestration;2019-09-19T21:08:55;2019-09-19;2019-09-19;TERMINADO
10;Handcrafted Customer;Auto Loan Account online;2019-09-20T08:03:06;2019-09-20;2019-09-20;ACTIVO
