id;title;description;type;unit;status
1;parsing Investment Account;Branding Dynamic black;ALMACENAJE;TM;CANCELADO
2;Garden open-source hybrid;Solomon Islands Dollar;TRANSPORTE;CONTENEDOR_40TM;EN_ESPERA
3;interface Cotton Robust;user-centric Infrastructure;TRANSPORTE;TM;TERMINADO
4;Direct;Small Frozen Salad bypassing;ALMACENAJE;KG;EN_ESPERA
5;Pakistan;parse;CROSS_DOCK;TARIMA;CONFIRMADO
6;program Auto Loan Account Refined;infomediaries;DESCARGA;CONTENEDOR_40TM;ACTIVO
7;User-centric Principal Pennsylvania;repurpose Sleek;ALMACENAJE;M2;PROCESANDO
8;Handmade Wooden Cheese Fresh;input Naira;EXPORTACION;TM;EN_ESPERA
9;Strategist;Incredible Fresh Car Tuvalu;CARGA;CONTENEDOR_40TM;ACTIVO
10;Credit Card Account Maryland Legacy;Product;DESCARGA;M2;CANCELADO
